season,team,conference,fpi,resumeranks,efficiencies
2026,Ohio State,Big Ten,28.676,"{'strengthOfRecord': 0, 'fpi': 1, 'averageWinProbability': 0, 'strengthOfSchedule': 8, 'remainingStrengthOfSchedule': 9, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Kentucky,SEC,5.366,"{'strengthOfRecord': 0, 'fpi': 40, 'averageWinProbability': 0, 'strengthOfSchedule': 4, 'remainingStrengthOfSchedule': 5, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Ohio,Mid-American,-7.957,"{'strengthOfRecord': 0, 'fpi': 99, 'averageWinProbability': 0, 'strengthOfSchedule': 126, 'remainingStrengthOfSchedule': 123, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Oklahoma,SEC,18.84,"{'strengthOfRecord': 15, 'fpi': 12, 'averageWinProbability': 3, 'strengthOfSchedule': 3, 'remainingStrengthOfSchedule': 1, 'gameControl': 5}","{'overall': 96.719, 'offense': 70.512, 'defense': 93.95, 'specialTeams': 98.36}"
2026,Penn State,Big Ten,13.716,"{'strengthOfRecord': 0, 'fpi': 17, 'averageWinProbability': 0, 'strengthOfSchedule': 61, 'remainingStrengthOfSchedule': 63, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Florida State,ACC,7.926,"{'strengthOfRecord': 13, 'fpi': 32, 'averageWinProbability': 18, 'strengthOfSchedule': 21, 'remainingStrengthOfSchedule': 19, 'gameControl': 21}","{'overall': 61.287, 'offense': 60.324, 'defense': 47.116, 'specialTeams': 75.692}"
2026,Florida,SEC,13.575,"{'strengthOfRecord': 0, 'fpi': 18, 'averageWinProbability': 0, 'strengthOfSchedule': 7, 'remainingStrengthOfSchedule': 8, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Clemson,ACC,13.421,"{'strengthOfRecord': 0, 'fpi': 19, 'averageWinProbability': 0, 'strengthOfSchedule': 32, 'remainingStrengthOfSchedule': 35, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,North Texas,American Athletic,-6.401,"{'strengthOfRecord': 0, 'fpi': 91, 'averageWinProbability': 0, 'strengthOfSchedule': 79, 'remainingStrengthOfSchedule': 78, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Texas,SEC,26.914,"{'strengthOfRecord': 0, 'fpi': 2, 'averageWinProbability': 0, 'strengthOfSchedule': 2, 'remainingStrengthOfSchedule': 3, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
